machine_id,time_stamp ,cpu_util_percent,mem_util_percent,net_in,net_out, disk_io_percent
m_2067,71240,0.3804347826086956,0.9278350515463918,0.6438780781815051,0.576231884057971,6
m_1956,350460,0.46739130434782605,0.9278350515463918,0.7632168073015326,0.6931400966183574,4
m_1979,670190,0.9891304347826086,0.9793814432989691,0.8014465300499397,0.6842512077294685,11
m_1946,260260,0.043478260869565216,0.8041237113402062,0.2855174789047701,0.232463768115942,1
m_2000,445780,0.3804347826086956,0.865979381443299,0.944377475460651,0.9393236714975844,11
m_2010,507800,0.31521739130434784,0.9690721649484536,0.7644222490098157,0.6533333333333333,2
m_2069,558050,0.42391304347826086,0.9278350515463918,0.885655243671431,0.7990338164251207,5
m_2026,385070,0.43478260869565216,0.9587628865979382,0.7856035818839331,0.758840579710145,2
m_2039,52670,0.5869565217391304,0.9175257731958764,0.7034613397623558,0.6857971014492754,13
m_2009,6560,0.19565217391304346,0.7938144329896908,0.5775787842259342,0.46995169082125604,1
m_2037,272050,0.5217391304347826,0.9587628865979382,0.7373859135526089,0.6401932367149759,7
m_2043,611160,0.32608695652173914,0.9278350515463918,0.796280351300155,0.6894685990338164,2
m_1977,226950,0.46739130434782605,0.9793814432989691,0.6703977957637334,0.6214492753623188,7
m_2068,474210,0.33695652173913043,0.9278350515463918,0.7880144653004993,0.673623188405797,5
m_2055,614040,0.11956521739130435,0.8762886597938144,0.720165317719993,0.5845410628019323,2
m_1964,396950,0.6086956521739131,0.9690721649484536,0.7866368176338902,0.7582608695652174,7
m_2022,432390,0.32608695652173914,0.9793814432989691,0.796280351300155,0.6977777777777777,1
m_2061,680800,0.5434782608695652,0.9690721649484536,0.914069226795247,0.7951690821256038,17
m_2040,193540,0.34782608695652173,0.88659793814433,0.6314792491820217,0.5248309178743961,8
m_2021,512740,0.20652173913043478,0.9690721649484536,0.7728603409677975,0.6295652173913043,3
m_2079,485040,0.14130434782608695,0.9278350515463918,0.700361632512485,0.5470531400966183,4
m_1935,1740,0.31521739130434784,0.9072164948453608,0.6981229550542448,0.5818357487922705,3
m_2050,647390,0.45652173913043476,0.9793814432989691,0.7771654899259515,0.6131400966183574,3
m_1944,87060,0.3913043478260869,0.8144329896907216,0.5581195109350783,0.44212560386473426,4
m_1976,196260,0.8043478260869565,0.9278350515463918,0.6419838126399173,0.5596135265700483,6
m_2007,497260,0.5434782608695652,0.9381443298969072,0.8779059755467539,0.8676328502415458,4
m_1953,398600,0.75,0.9793814432989691,0.768038574134665,0.7172946859903381,6
m_2041,609630,0.5,0.9484536082474228,0.7534010676769416,0.6028985507246376,28
m_1932,678470,0.34782608695652173,0.9587628865979382,0.8479421387980024,0.737391304347826,5
m_1979,241940,0.33695652173913043,0.8762886597938144,0.6616152918890994,0.5640579710144927,6
m_2065,241620,0.34782608695652173,0.9587628865979382,0.7112106078870328,0.5872463768115942,3
m_2058,636090,0.532608695652174,0.9072164948453608,0.8457034613397623,0.7918840579710144,5
m_2059,168430,0.5434782608695652,0.9690721649484536,0.6240743929739969,0.5478260869565217,5
m_2062,200300,0.5869565217391304,0.9690721649484536,0.6910625107628724,0.6212560386473429,10
m_2070,191740,0.08695652173913043,0.9381443298969072,0.47459962114689164,0.5265700483091788,2
m_2039,511700,0.3913043478260869,0.9484536082474228,0.8775615636301016,0.8751690821256038,15
m_2067,426150,0.25,0.9587628865979382,0.7632168073015326,0.678647342995169,6
m_1955,506170,0.2391304347826087,0.9587628865979382,0.8262441880489064,0.6935265700483092,3
m_1947,541610,0.7934782608695652,0.9587628865979382,0.9021870156707422,0.8142995169082126,12
m_1954,400480,0.46739130434782605,0.9381443298969072,0.8558636128810057,0.8486956521739131,14
m_1970,343730,0.6630434782608695,0.9587628865979382,0.7230928190115378,0.6995169082125604,8
m_2033,683590,0.5760869565217391,0.9278350515463918,0.9144136387118994,0.8703381642512077,12
m_1981,55270,0.5217391304347826,0.9381443298969072,0.7220595832615808,0.6233816425120772,7
m_2014,584620,0.30434782608695654,0.9072164948453608,0.9655588083347684,0.8285990338164251,2
m_1958,313820,0.32608695652173914,0.9484536082474228,0.7317031169278457,0.6628019323671497,8
